feature,lable
"[-3.57379059e+02  1.40462387e+02 -3.15233936e+01  7.21343040e+00
  1.46340361e+01 -2.39257336e+01  2.65398383e-01 -4.76842850e-01
 -1.41079035e+01  5.15694141e+00 -5.08950949e+00 -1.54246159e+01
  1.80672562e+00 -3.84452629e+00 -8.36901760e+00  7.33883440e-01
 -7.62109041e+00 -7.12180614e+00  1.24304712e+00 -5.54995155e+00
 -2.64369512e+00  3.30927587e+00 -2.11988497e+00  1.97742462e+00
  5.28249502e+00  7.29837477e-01  3.84719539e+00  2.63034511e+00
 -1.47934759e+00  3.56918526e+00  3.02491283e+00  7.46421874e-01
  5.32148123e+00  3.75740147e+00  1.89301980e+00  4.46145678e+00
  1.95594192e+00  1.76810503e+00  3.66255283e+00  1.80774286e-01]",1
"[-3.6664008e+02  1.1269488e+02 -2.5852554e+00  2.0256317e+01
 -6.8452352e-01 -7.9475732e+00 -1.4195136e+01 -5.0063214e+00
 -8.2365131e+00  9.9808580e-01 -2.1617325e+01 -1.7595001e+00
 -6.3774261e+00 -3.6401486e+00  9.1049746e-02 -6.9357505e+00
 -7.2354770e+00 -4.7063770e+00 -5.2339993e+00 -4.5520501e+00
 -2.0010102e+00 -6.3103657e+00 -3.3834143e+00 -3.9561992e+00
 -7.8021045e+00 -1.4231491e+00 -4.5508709e+00 -9.6722281e-01
 -2.5283859e+00 -2.8939416e+00 -1.8792578e+00 -1.9298584e+00
 -1.7560672e+00 -3.1023951e+00 -9.0029067e-01 -2.0631423e+00
 -3.0767310e-01 -1.9538513e+00 -1.0428160e+00 -1.4718628e+00]",1
"[-4.0891913e+02  1.2956154e+02 -1.6746555e+01  2.8779235e-01
 -9.9285144e-01  1.0028414e+01  1.4594504e-01 -4.0008821e+00
 -6.4344454e+00 -4.7657621e-01 -1.1703990e+01 -7.4310617e+00
 -5.6561527e+00  1.4014293e+00 -1.0075606e+01 -5.3193626e+00
 -5.6563134e+00 -1.0606752e+01 -1.0166287e+01 -7.8308687e+00
 -9.9743776e+00 -5.0185723e+00 -4.8674083e+00 -6.6771069e+00
 -6.7317486e-02 -1.1264207e+00 -6.0791130e+00 -2.7692175e+00
 -6.6221309e+00  6.5392053e-01 -2.5762570e+00 -1.2840296e+00
 -1.6081773e+00 -1.5052773e+00 -1.3084083e+00 -2.7127042e+00
  8.0177486e-01 -2.0122759e+00 -3.1353876e-01 -2.4728913e+00]",1
"[-3.69704773e+02  1.34279572e+02 -2.95841274e+01  9.11499119e+00
  1.84470692e+01 -1.89101868e+01  1.82046521e+00 -1.05126023e+00
 -1.63014259e+01  2.30586004e+00 -4.39722872e+00 -1.29683485e+01
  2.39540529e+00 -4.02788162e+00 -8.98524380e+00  3.51081729e-01
 -6.13893366e+00 -5.70634031e+00  1.54268098e+00 -4.85351610e+00
 -2.45674109e+00  2.02133489e+00 -3.50228357e+00  1.25281918e+00
  4.56402302e+00 -5.20555973e-01  3.15454388e+00  3.52234006e+00
 -6.88650608e-01  3.08877206e+00  2.26816106e+00 -2.93728352e-01
  3.95740914e+00  3.01424885e+00  1.80577791e+00  4.92596865e+00
  2.57749963e+00  1.56362545e+00  3.36198497e+00  4.94977832e-01]",1
"[-4.1187204e+02  1.4247339e+02 -2.6022327e+01  2.2220979e+00
  4.2182183e+00  3.8140440e+00  1.3478487e+00 -1.5249348e+00
 -1.1635951e+01  2.9690731e-01 -1.1203335e+01 -8.8880711e+00
 -2.4546533e+00  1.3185834e+00 -1.1375081e+01 -5.5012908e+00
 -4.3223424e+00 -7.0589118e+00 -5.9735174e+00 -1.0937966e+01
 -1.2511169e+01 -5.5579476e+00 -1.1110467e+01 -3.8088205e+00
 -1.1949445e+00 -2.6234510e+00 -8.7888336e-01 -5.8974395e+00
 -2.9121683e+00 -2.0313022e+00 -1.5521663e+00 -1.1844099e+00
 -1.4355263e+00 -1.1366280e+00 -3.0375018e+00 -2.4447477e+00
 -3.0538695e+00  1.2337739e+00 -2.7545719e+00 -1.3866811e+00]",1
"[-4.3204565e+02  1.3541354e+02 -6.7474217e+00  7.3927059e+00
 -4.0762563e+00  5.5213780e+00  3.5426750e+00 -4.7431736e+00
 -1.0870592e+01  9.7932369e-01 -1.0706637e+01 -1.4483272e+01
 -5.4848924e+00  5.2009449e+00 -8.4080315e+00 -4.6088476e+00
 -6.1097178e+00 -9.9659662e+00 -7.3560605e+00 -5.1260533e+00
 -1.0766707e+01 -4.3311095e+00 -3.4642003e+00 -7.6544542e+00
 -1.6167655e+00 -1.3843658e+00 -5.0809946e+00 -4.8587103e+00
 -6.6660490e+00  1.7795409e+00 -1.1632247e+00 -3.4983113e+00
 -2.1953773e+00 -2.8055462e-01 -1.5832295e+00 -1.6713880e+00
  1.0550234e+00 -1.8651497e+00  2.6579210e-01 -2.2925453e+00]",1
"[-4.35160278e+02  1.31763458e+02 -5.48640156e+00  5.47741508e+00
 -1.30505547e-01  5.23725557e+00  3.73479080e+00 -5.67388916e+00
 -1.38442955e+01  2.59352136e+00 -8.90359020e+00 -1.19357252e+01
 -5.09435749e+00  4.62699938e+00 -7.51444006e+00 -5.10921335e+00
 -6.72903204e+00 -8.05879688e+00 -7.08182812e+00 -7.61628008e+00
 -1.12763596e+01 -5.26132679e+00 -5.93446827e+00 -4.76262617e+00
  2.65865159e+00 -3.85306907e+00 -3.74712181e+00 -5.86449146e+00
 -8.22311783e+00  1.71954668e+00 -2.47049356e+00 -1.71681428e+00
 -5.45453489e-01 -7.50860050e-02 -3.32401133e+00 -2.98527509e-01
  1.81782377e+00 -2.34862804e+00  2.56442875e-02 -1.74309385e+00]",1
"[-3.6851266e+02  1.3560458e+02 -3.0745058e+01  8.1029758e+00
  1.6966640e+01 -2.0890669e+01  1.0237052e+00 -7.4375963e-01
 -1.5592990e+01  2.5928099e+00 -5.3846650e+00 -1.4158443e+01
  1.7304305e+00 -4.9733562e+00 -9.3729687e+00  1.4652346e+00
 -4.9770174e+00 -5.5797048e+00  1.1227168e+00 -5.0872760e+00
 -2.0440159e+00  2.3853633e+00 -4.1440287e+00  2.5748333e-01
  4.2264562e+00 -8.1673756e-02  4.2205338e+00  4.7413454e+00
  1.8821053e-01  3.8701639e+00  3.3352311e+00  9.1166043e-01
  4.9735017e+00  3.7278445e+00  2.0231695e+00  4.2247148e+00
  1.3148561e+00  7.2775429e-01  2.8767540e+00 -1.6550799e-01]",1
"[-3.50745972e+02  1.01569130e+02  1.09433365e+01  2.72067757e+01
  6.09696627e-01  4.13604259e+00  1.35601974e+00  4.56156969e+00
 -7.27729654e+00 -3.80728960e+00 -3.93937111e+00 -6.30381966e+00
 -4.23271704e+00  9.02333438e-01 -7.24257421e+00 -5.65013361e+00
 -2.95618796e+00 -4.49401712e+00 -5.29015350e+00  3.65477514e+00
 -2.79827118e+00  1.80032861e+00  1.09660614e+00  2.00224829e+00
  1.89682543e+00  4.16981316e+00  3.61274886e+00  3.83437014e+00
  6.81455898e+00  4.59606123e+00  7.38735008e+00  6.11174631e+00
  4.97375965e+00  3.57207894e+00  2.36015439e+00  1.95238388e+00
 -1.74956933e-01 -8.82913411e-01 -1.01874948e+00 -3.44108963e+00]",1
"[-3.46666809e+02  1.12681076e+02  1.19077957e+00  1.22893171e+01
 -3.41924596e+00 -1.32422743e+01 -9.61310291e+00 -1.39010584e+00
 -1.51520891e+01 -3.39944077e+00 -1.29447336e+01 -3.71885204e+00
 -1.11412125e+01  2.79209495e+00 -8.73003960e+00 -4.25215816e+00
 -1.54075706e+00 -4.42910862e+00 -3.42758512e+00 -1.81264055e+00
 -1.85076594e+00  1.59562337e+00  1.85877371e+00  1.81682467e+00
  5.97571671e-01  3.55172515e+00  4.69352007e+00  1.87921703e+00
  2.92191577e+00  2.35491204e+00  1.61029661e+00  1.06920648e+00
  5.71745157e-01 -3.55111420e-01 -2.19439063e-02 -9.35155153e-01
 -1.52590883e+00 -1.40042794e+00 -9.33166265e-01 -1.62293375e+00]",1
"[-3.62763611e+02  1.08308716e+02 -1.01398916e+01  3.00856304e+01
 -8.97354317e+00 -1.92088242e+01 -1.57669315e+01 -2.52569981e+01
 -1.21743708e+01 -1.77071171e+01 -1.95974827e+01 -1.28140488e+01
 -6.14925766e+00 -4.92316389e+00 -6.88815117e+00 -4.30696774e+00
 -5.71407795e+00 -5.55208921e+00 -7.35973597e+00 -7.74427319e+00
 -3.79882693e+00 -3.80817246e+00 -3.70166230e+00 -3.28711295e+00
 -3.67143297e+00 -2.06675243e+00 -1.54771721e+00 -2.77091932e+00
 -7.54024029e-01 -7.23528564e-01 -1.33402145e+00  7.76821256e-01
 -2.89086789e-01  7.59643972e-01  1.34286797e+00 -3.68244916e-01
 -1.74771070e-01 -3.25649172e-01 -8.36188626e-03 -1.73301780e+00]",0
"[-3.1931256e+02  1.2743880e+02  8.3660393e+00 -7.2635120e-01
 -1.0968159e+00 -1.3816404e+01 -1.7135126e+01 -7.1652670e+00
 -1.2228915e+01 -2.8625944e+00 -1.3055332e+01 -3.4975975e+00
 -4.6581416e+00 -5.0977812e+00 -1.0952990e+01 -5.5010896e+00
 -5.5535432e-02 -9.0949345e+00 -3.5436800e+00 -5.0395578e-01
  1.3631363e+00  2.4412894e+00  4.8127413e+00  4.9301863e+00
  4.7017269e+00  6.4968896e+00  4.3072853e+00  6.9750781e+00
  5.3750548e+00  5.3675427e+00  6.0512489e-01  5.5709982e-01
 -2.3817746e-01 -7.4273711e-01 -5.2777354e-02 -1.3503165e+00
 -7.8488094e-01 -2.0066350e+00 -7.4781919e-01 -1.4524618e+00]",1
"[-3.9204468e+02  9.2270401e+01  1.3936693e+01  1.6605740e+01
  8.4194726e-01  4.4017801e+00 -3.5597510e+00 -3.1739972e+00
 -4.6257620e+00  2.1401558e+00 -9.0977306e+00 -1.4089220e+00
 -2.4917922e+00  2.4294710e+00 -4.6092596e+00 -1.2213911e+00
 -5.8063257e-02 -1.6797273e+00 -2.0813978e+00 -1.1565850e+00
 -2.1800251e-01  2.1570525e+00  2.9521143e+00  1.6196351e+00
  2.2537467e+00  2.3452983e+00  2.7503901e+00  2.2848778e+00
  2.4563806e+00  3.3001668e+00  4.4352908e+00  5.0098801e+00
  4.7579799e+00  4.0204363e+00  4.0686903e+00  4.1381278e+00
  2.7043710e+00  1.2631739e+00  6.9210202e-01  3.6044028e-01]",0
"[-4.76378082e+02  1.26931244e+02  3.55669174e+01  2.85539417e+01
  2.98675132e+00 -2.48746643e+01 -1.44478970e+01 -4.84562635e+00
 -9.18972778e+00 -7.84197521e+00 -1.22596045e+01 -9.57679939e+00
 -3.33199286e+00 -1.08636701e+00 -8.78827095e+00 -8.57963085e+00
 -6.28683138e+00 -5.08047152e+00 -5.19649935e+00 -4.28878164e+00
 -3.34717417e+00 -2.89547753e+00 -1.26360357e+00 -1.50657976e+00
 -1.45394170e+00 -1.34198908e-02  2.54842496e+00  3.21478295e+00
  3.18821692e+00  7.33474135e-01 -1.09707355e-01  9.17370856e-01
  3.56131911e-01  2.56702960e-01  8.85255337e-01  8.42209518e-01
  1.32180941e+00  1.02851701e+00 -2.37109825e-01 -5.81373811e-01]",1
"[-4.63492035e+02  9.59319839e+01  4.05787373e+00  1.58778219e+01
 -1.75896740e+01 -9.27955532e+00 -7.03403759e+00 -1.26335535e+01
 -1.16496639e+01 -4.61866713e+00 -1.57192421e+01 -8.20202637e+00
 -7.53455782e+00 -5.59834671e+00 -9.96137524e+00 -7.57843590e+00
 -7.33173037e+00 -6.95463371e+00 -8.23836517e+00 -3.15916634e+00
 -6.95362425e+00 -1.32900548e+00  2.47347116e+00 -1.04217386e+00
  1.96664298e+00  3.82271737e-01  1.47534072e-01  3.27157450e+00
  5.59572029e+00  2.29313016e+00  2.05534410e+00  1.60607171e+00
 -7.43203819e-01 -1.15934455e+00 -9.83241141e-01 -3.53052711e+00
 -2.13532162e+00 -2.59413457e+00 -2.99168253e+00 -3.11202121e+00]",0
"[-4.61356506e+02  1.04121124e+02  5.06733656e+00  1.88540192e+01
  1.28903687e+00  4.21670341e+00 -3.43294168e+00  1.35851097e+01
 -1.17971621e+01  9.81694794e+00 -8.27892685e+00  1.40297050e+01
 -1.32567387e+01  9.19051456e+00 -7.69055510e+00  4.73276234e+00
 -8.41236210e+00  3.68115497e+00 -8.16780853e+00  1.23022521e+00
 -5.26883745e+00 -5.09964883e-01  9.97422338e-01 -2.55124784e+00
 -6.51194751e-01  8.23838890e-01  3.42863226e+00  2.77928686e+00
  3.84357643e+00  3.32915640e+00  3.58826566e+00  8.67150128e-01
  2.56587315e+00 -3.51654708e-01 -8.05275381e-01 -1.33037341e+00
 -2.45278740e+00 -1.76406443e+00 -1.53687727e+00 -2.29640102e+00]",1
"[-4.8675000e+02  9.9910713e+01  4.0950294e+01  2.2338261e+01
  4.7423124e+00 -4.8952508e+00 -9.8648348e+00 -9.1603451e+00
 -8.3419304e+00 -2.7785771e+00 -1.0276696e+01 -6.9914303e+00
 -6.0357037e+00  1.7672691e-01 -4.3806906e+00 -7.9692349e+00
 -6.3736515e+00 -3.5668542e+00 -8.1163311e-01 -3.2008061e+00
 -3.8428268e+00  2.8608460e+00  1.9837266e+00  1.3911778e-01
  3.4853834e-01  3.3584630e+00  2.3089204e+00  2.8546844e+00
  3.3948286e+00  1.6067678e+00  3.4420018e+00  5.5048070e+00
  5.2000647e+00  6.1010742e+00  5.2861047e+00  1.9946249e+00
  2.1390300e+00 -1.3471475e+00 -1.4273287e+00 -3.3066773e-01]",0
"[-341.58908     115.446686      1.1388197    39.139904      1.8822457
  -10.482366    -19.168959     -1.383869    -10.573293     -1.1735663
  -15.33071       0.47387695   -9.198437     -7.534053      2.8830144
   -4.2423925    -7.9948277    -0.43403855   -8.966093     -4.9955726
   -7.997213     -6.0621643    -5.81157      -6.4683075    -4.706849
   -3.073656     -6.2033043    -2.566921     -2.793004     -5.4298697
   -2.1850336    -4.8698354    -2.9648025    -4.989814     -3.194088
   -4.31016      -4.6690474    -2.761659     -3.3759735    -3.6997108 ]",1
"[-5.2339276e+02  9.9761238e+01  2.8850693e+01  4.5114422e+01
 -8.7606305e-01  1.5153731e+01 -4.8897696e+00  1.3905710e+00
  3.7345307e+00  1.0637510e+01 -8.6440630e+00 -2.6714742e+00
  5.9391742e+00 -3.3108780e+00 -3.2642922e+00 -1.9488247e-01
 -5.4414268e+00 -2.3125749e+00  5.6597942e-01 -3.3944387e+00
 -3.1529162e+00  1.2714852e+00  1.7323978e+00 -2.4555447e+00
 -1.0558972e-01  1.5374185e-01  7.5885457e-01  2.7632773e+00
  5.3044534e+00  3.0324461e+00  4.8827062e+00  4.5622902e+00
  2.1448483e+00  1.3819822e+00  3.4383247e+00  2.7812831e+00
  1.2157416e+00  1.0927789e+00  2.0678759e+00  3.6565707e+00]",1
"[-363.97354     114.29749      10.131722     21.712132      5.8720913
  -13.050513     -2.0580845    -2.966687    -19.193516      4.1542253
  -14.5462675     1.6938196    -9.275803      1.9845363    -8.744074
   -2.1295407    -6.999537     -3.822483     -7.462162     -1.5564975
   -6.4927373    -3.1343813    -2.8497412    -2.138541     -2.5191708
    0.40434647   -1.571593     -2.1033258    -1.9891111    -0.45554206
    0.6792684     1.8855058     0.623248      1.9638022     2.7717228
    4.021256      2.00323      -0.69966525   -0.5297641    -1.3961036 ]",1
"[-3.0727048e+02  1.6308260e+02  1.6154764e+01  6.1561608e+00
 -1.2107402e+01 -2.6408831e+01 -1.4430122e+00 -8.4819498e+00
 -2.3204405e+01 -6.3698869e+00 -9.1400814e+00 -1.6933804e+01
 -6.7108889e+00 -4.5853829e+00 -1.0962230e+01 -9.1190701e+00
 -5.2368546e+00 -6.8949518e+00 -9.1572275e+00 -9.6028576e+00
 -9.3547716e+00 -6.8537774e+00 -5.1166091e+00 -5.4178677e+00
 -2.0526521e+00  1.1193676e+00 -2.0145380e-01 -5.0499791e-01
  1.5106708e+00  9.5659745e-01  9.4180144e-02 -5.9821934e-01
 -2.0627816e+00 -1.6324551e+00  6.7847127e-01  2.2705930e-01
 -5.5524331e-01  7.2284645e-01  9.3065387e-01  8.5446072e-01]",1
"[-359.65475     125.02411      25.925375     -4.539719      7.57224
  -12.445216    -15.152309      5.0274615   -20.793951     -3.211761
   -8.889702     -1.9710021   -19.737837     -1.6553159   -10.946344
   -0.57209176  -15.032782     -2.2533023    -8.238899     -7.0407705
   -8.243834     -6.36009      -3.4507873    -7.7379227    -1.2032554
   -3.9094396    -1.499515     -3.3594043    -1.6332589    -5.811486
   -3.9446123    -3.453893     -5.114754     -3.4768333    -4.7371283
   -4.7806664    -4.6386943    -4.4427657    -4.2960176    -6.112708  ]",1
"[-3.9180899e+02  8.8192635e+01  1.6077053e+01  2.2385818e+01
 -7.7136226e+00  9.3576479e+00 -7.6506057e+00  3.3515160e+00
 -1.2894186e+01 -2.1099415e-01 -1.2606116e+01 -6.3247347e+00
 -9.1715136e+00 -4.5119119e+00 -3.4484344e+00 -7.9603424e+00
 -3.3327341e+00 -5.2562470e+00 -6.8749442e+00 -3.3559153e+00
 -7.6666012e+00 -4.3642397e+00 -4.9686480e+00 -5.1670704e+00
 -4.4583406e+00 -3.8605647e+00 -2.4354322e+00 -3.1431239e+00
 -5.8061999e-01 -2.3994532e+00 -1.7462004e+00 -1.3064436e+00
 -4.8739520e-01 -6.8409932e-01 -2.5989369e-01  1.1184709e+00
 -7.1585602e-01  4.7862172e-01 -4.9922341e-01 -5.2099019e-01]",0
"[-4.00131897e+02  1.07245605e+02  1.85379295e+01  1.67580833e+01
 -4.66960049e+00 -2.20497060e+00 -2.06677914e+00 -4.46317005e+00
 -1.60782356e+01  1.20864236e+00 -1.21209536e+01 -4.19584370e+00
 -5.37030315e+00 -2.32151413e+00 -8.46032047e+00 -4.06824493e+00
 -1.55681896e+00 -9.64583492e+00 -6.11731958e+00 -4.23664045e+00
 -6.46228075e+00 -6.70734739e+00 -2.64098263e+00 -3.37514853e+00
 -1.84389079e+00  5.91619201e-02  8.11386704e-01  2.50728321e+00
  4.26625061e+00  6.12100410e+00  5.17276430e+00  6.74241686e+00
  5.32670403e+00  2.34179902e+00  1.77679729e+00 -1.20775867e-03
 -1.20692468e+00 -1.03741109e+00 -7.97259092e-01 -1.79050410e+00]",0
"[-3.9802005e+02  1.3404361e+02  9.8036522e-01  1.3951857e+01
 -7.8003449e+00 -1.2909180e+01  9.6080698e-02 -8.6409748e-01
 -1.6454086e+01  6.8259640e+00 -5.7179937e+00 -5.6980200e+00
 -4.9350243e+00  3.1456130e+00 -7.8602225e-01 -8.1583796e+00
  2.3579664e+00 -1.4927264e+00 -6.1157954e-01  1.0824259e+01
  3.4761219e+00  5.8330965e+00  3.9103539e+00  5.0577694e-01
  1.3697772e+00  1.4814426e+00 -5.7129395e-01  1.7256085e+00
  3.1641368e-02 -4.2173189e-01  5.1522865e+00  1.1955568e+00
  2.3488009e+00  2.3036816e+00  1.1133350e+00  3.4172800e+00
  3.4252055e+00  4.4510803e+00  3.1099432e+00  1.1070271e+00]",1
